# d-spacing, counts, errors
1.622500000000005826e+01,4.660000000000000000e+02,2.158703314492290204e+01
1.627500000000006253e+01,4.670000000000000000e+02,2.161018278497430956e+01
1.632500000000005969e+01,4.550000000000000000e+02,2.133072900770154234e+01
1.637500000000006395e+01,3.710000000000000000e+02,1.926136028425822388e+01
1.642500000000006111e+01,3.250000000000000000e+02,1.802775637731994607e+01
1.647500000000006537e+01,3.010000000000000000e+02,1.734935157289747210e+01
1.652500000000006253e+01,2.900000000000000000e+02,1.702938636592640265e+01
1.657500000000006679e+01,2.460000000000000000e+02,1.568438714135812262e+01
1.662500000000006395e+01,2.220000000000000000e+02,1.489966442575133954e+01
1.667500000000006821e+01,1.910000000000000000e+02,1.382027496108525355e+01
1.672500000000006537e+01,1.800000000000000000e+02,1.341640786499873883e+01
1.677500000000006963e+01,1.670000000000000000e+02,1.292284798332008577e+01
1.682500000000006679e+01,1.330000000000000000e+02,1.153256259467079659e+01
1.687500000000007105e+01,1.400000000000000000e+02,1.183215956619923226e+01
1.692500000000006821e+01,1.430000000000000000e+02,1.195826074310139830e+01
1.697500000000007248e+01,1.310000000000000000e+02,1.144552314225959755e+01
1.702500000000006963e+01,1.430000000000000000e+02,1.195826074310139830e+01
1.707500000000007390e+01,1.290000000000000000e+02,1.135781669160054719e+01
1.712500000000007105e+01,1.270000000000000000e+02,1.126942766958464404e+01
1.717500000000007532e+01,1.120000000000000000e+02,1.058300524425836286e+01
1.722500000000007248e+01,1.400000000000000000e+02,1.183215956619923226e+01
1.727500000000007674e+01,1.120000000000000000e+02,1.058300524425836286e+01
1.732500000000007390e+01,1.000000000000000000e+02,1.000000000000000000e+01
1.737500000000007816e+01,1.080000000000000000e+02,1.039230484541326405e+01
1.742500000000007532e+01,1.160000000000000000e+02,1.077032961426900748e+01
1.747500000000007958e+01,9.500000000000000000e+01,9.746794344808963118e+00
1.752500000000007674e+01,9.700000000000000000e+01,9.848857801796103928e+00
1.757500000000008100e+01,1.150000000000000000e+02,1.072380529476360778e+01
